chunk_id,doc_id,chunk_text,effective_date,exported_at
policy_refund_v4_1_0655e373028a71f6,policy_refund_v4,Yêu cầu hoàn tiền được chấp nhận trong vòng 7 ngày làm việc kể từ xác nhận đơn. [cleaned: stale_refund_window],2025-03-14,2026-04-06T00:00:00
it_helpdesk_faq_2_b49d2cb54042efb2,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2025-08-30,2026-04-07T00:00:00
hr_leave_policy_3_bc9ee30e5475a2b2,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2026-03-30,2026-04-10T00:00:00
sla_p1_2026_4_182f5a289bdf01da,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-07-15,2026-04-04T00:00:00
policy_refund_v4_5_c3ad0afe6debb019,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2026-03-30,2026-04-02T00:00:00
policy_refund_v4_6_658d0f6abb5d02ff,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc làm việc làm việc kể từ thời điểm xác nhận đơn hàng.,2025-12-14,2026-04-03T00:00:00
policy_refund_v4_7_bfbac8878a249889,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-02-19,2026-04-07T00:00:00
hr_leave_policy_8_4e57319690bb2dbb,hr_leave_policy,Nội dung không rõ ràng: Nhân viên dưới 3 năm kinh nghiệm được 12 ngày phép năm theo chính sách 2026.,2026-01-11,2026-04-07T00:00:00
hr_leave_policy_9_1e2ed38f4b7e6a5c,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025). Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025). Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025). Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025). Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2026-02-10,2026-04-07T00:00:00
it_helpdesk_faq_10_0db8b61f249be1ef,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Chú ý: effective_date không đồng nhất giữa các nguồn.,2025-02-24,2026-04-05T00:00:00
policy_refund_v4_11_98d118e9861cc1da,policy_refund_v4,Nội dung không rõ ràng: Yêu cầu hoàn tiền được chấp nhận trong vòng 7 ngày làm việc kể từ xác nhận đơn. [cleaned: stale_refund_window],2025-07-10,2026/04/07T00:00:00
sla_p1_2026_12_0eecdb03197bbfd6,sla_p1_2026,Nội dung không rõ ràng: !!!Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-11-17,2026-04-06T00:00:00
it_helpdesk_faq_13_2e37db31fa4652de,it_helpdesk_faq,FAQ bổ sung: đổi mật khẩu qua portal self-service có thể mất tối đa 24 giờ để đồng bộ toàn hệ thống.,2025-05-29,2026-04-08T00:00:00
policy_refund_v4_14_41200fdfaf3e095b,policy_refund_v4,!!!Yêu cầu hoàn tiền được chấp nhận trong vòng 7 ngày làm việc kể từ xác nhận đơn. [cleaned: stale_refund_window],2025-04-01,2026-04-07T00:00:00
policy_refund_v4_15_e69479df1e55cfe3,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc làm việc kể từ thời điểm xác nhận đơn hàng.,2025-11-24,2026-04-06T00:00:00
sla_p1_2026_16_1c0254342f472c7e,sla_p1_2026,Nội dung không rõ ràng: Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2025-01-18,2026-04-01T00:00:00
it_helpdesk_faq_17_daf23e3b2ec77e15,it_helpdesk_faq,Nội dung không rõ ràng: Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2026-01-04,2026/04/02T00:00:00
it_helpdesk_faq_18_7e833f302494614e,it_helpdesk_faq,Nội dung không rõ ràng: FAQ bổ sung: đổi mật khẩu qua portal self-service có thể mất tối đa 24 giờ để đồng bộ toàn hệ thống.,2026-01-15,2026-04-08T00:00:00
policy_refund_v4_19_86a78e1b8ad30de3,policy_refund_v4,Nội dung không rõ ràng:,2025-10-31,2026-04-11T00:00:00
policy_refund_v4_20_11c623f5632adfb7,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Nội dung có thể bị trùng do sync lại dữ liệu.,2025-10-26,2026-04-02T00:00:00
policy_refund_v4_21_96fdc088c60513d4,policy_refund_v4,"Ngoại lệ không được hoàn tiền: sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription). Đơn hàng đã áp dụng mã giảm giá Flash Sale cũng không được hoàn.",2026-02-01,2026-04-08T00:00:00
